1	40	133	117	75
1	49	119	122	80
1	46	142	121	70
0	28	183	115	78
1	31	132	118	86
1	45	128	114	77
1	42	137	115	68
0	25	174	127	74
1	36	129	114	79
0	50	172	125	76
1	48	133	121	75
1	39	117	123	79
1	41	137	114	88
0	25	189	114	77
1	39	143	113	80
1	25	114	125	76
0	36	166	120	83
1	40	137	121	83
1	25	138	115	80
0	44	193	121	92
1	48	137	127	83
1	35	118	117	85
1	38	128	120	74
0	44	183	116	80
0	45	172	117	89
1	37	135	116	77
0	30	182	119	81
1	39	121	123	76
0	42	158	116	83
1	47	147	117	86
1	38	124	118	79
1	41	134	120	74
0	36	180	117	76
1	38	130	113	81
1	29	130	122	77
1	28	127	115	73
1	30	141	120	85
1	28	111	117	76
1	29	134	123	80
0	43	163	109	77
0	40	180	115	82
0	32	191	124	95
0	37	179	119	77
1	28	123	129	96
1	45	126	134	92
0	47	187	127	84
0	44	192	136	90
0	37	194	137	96
0	42	179	124	78
1	43	135	132	91
0	45	170	138	82
0	36	189	123	80
1	48	137	138	82
1	33	115	125	85
1	49	123	128	96
0	38	184	138	90
1	33	142	130	88
1	27	131	123	79
1	44	146	128	90
